# X(m) Y(m) ç¿ïWån ïWçÇ(m)
23952.437806297217 -39802.2412538965 10 28.116
24065.805077178367 -39643.65497680686 10 28.125
24164.413562911137 -39470.96154879 10 28.606
24237.986100725062 -39309.34895643977 10 28.917
24304.61195679904 -39101.95767087694 10 29.038
24356.90292757068 -38923.06395399662 10 29.294
24406.736016563173 -38729.99677283143 10 27.145
24493.43265918008 -38579.258390311865 10 26.531
24569.82547578384 -38420.490221678134 10 44.718
24647.264900824415 -38211.64868640249 10 44.374
24777.191616286145 -37904.372567602695 10 44.671
24879.937591958198 -37831.965082771174 10 24.18
25052.773915010355 -37680.68062186378 10 43.808
25266.718555651012 -37635.88607730725 10 25.618
25452.010764364106 -37518.09939718631 10 26.823
25640.38550270839 -37468.2985074817 10 30.493
25828.261550489162 -37399.79787008094 10 30.418
26006.128564056704 -37322.500050706265 10 30.58
26175.017176137902 -37237.08105181476 10 30.8
26375.99264502635 -37124.37198415555 10 44.536
26549.180891158765 -37048.32585125402 10 31.54
26709.9980202291 -36899.75486451851 10 28.67
26922.139878983286 -36868.59711419829 10 38.571
27070.81716363771 -36767.02879060826 10 42.69
27246.925149967483 -36694.72707525565 10 39.812
27429.435794380406 -36594.94221595893 10 43.989
27626.3249725483 -36532.50136226143 10 38.622
27734.682160638742 -36454.5653201601 10 42.381
27908.465525756947 -36230.838189221686 10 34.031
28140.57295313878 -36117.292095589524 10 29.553
28388.343516195648 -36120.87810250461 10 34.355
28544.264134893896 -36211.221732288905 10 33.908
28745.346556962868 -36113.00964359694 10 34.365
28933.92741627442 -36068.08643530893 10 31.222
29086.837760930553 -36000.67544395534 10 31.133
29080.76734374246 -35752.061292809485 10 32.932
29080.82193201238 -35631.75867006151 10 35.002
29080.97185345745 -35453.91160820735 10 36.386
29018.286576015875 -35293.85582518702 10 36.462
29006.749500136786 -35080.45483024579 10 35.504
28962.645474844 -34883.68048121524 10 36.482
28899.959474649517 -34701.2800084452 10 35.885
28905.982365322005 -34476.753514470045 10 33.121
28893.081933222595 -34273.426138639916 10 32.848
28904.630041886743 -34110.52027545387 10 33.133
28900.29418889272 -33950.81679180413 10 44.358
28981.256634434558 -33757.81189508033 10 33.592
29093.16568543832 -33479.28082444991 10 46.077
29238.679796784632 -33346.97157704321 10 33.217
29422.316504252318 -33281.881760205375 10 36.956
29616.770622011132 -33214.56148511613 10 37.346
29706.422448445508 -33137.52444383208 10 37.456
29753.43002208552 -33071.84374043446 10 37.707
29805.452625999245 -32924.46573072687 10 37.968
29810.042689524238 -32792.25678051017 10 39.933
29848.538665380427 -32617.78327791068 10 38.148
29874.001978353615 -32437.771283254642 10 38.503
29892.683364260592 -32211.019675271167 10 36.087
29854.133291063845 -32085.502920711588 10 37.355
29791.939531999447 -31731.94818581228 10 42.315
29879.0972379073 -31594.877703331025 10 43.929
29867.789768540315 -31478.871868240403 10 43.209
29943.1611938925 -31362.5136199286 10 35.863
29818.674459407328 -31181.86150357732 10 36.42
29703.341756398 -31035.6465439175 10 38.979
29626.765093019232 -30685.511948626572 10 36.526
29583.112164186143 -30527.41095847191 10 36.974
29544.483434419697 -30338.157706001963 10 37.512
29576.204285139433 -30127.000317283404 10 37.54
29621.580279632755 -29938.559653459495 10 38.391
29634.474929942564 -29765.70383218865 10 43.571
29665.002157171613 -29571.694605354467 10 38.678
29660.65928108709 -29394.119202733506 10 39.385
29627.25212609823 -29211.221316817773 10 39.693
29589.791008169923 -29010.37394771566 10 39.936
29552.539248188743 -28797.82028688338 10 40.441
29548.055952341394 -28547.052745422847 10 41.121
29577.291500176612 -28316.239861977938 10 41.447
29603.49948041939 -28129.166546715798 10 41.864
29635.073663112813 -27894.393480532548 10 42.192
29642.674779747835 -27742.119039615176 10 41.852
29620.41509664762 -27657.41907511124 10 42.031
29639.00182721518 -27436.253507424753 10 45.133
29617.13101194079 -27249.486400735124 10 44.624
29604.993545520323 -27049.789123734958 10 44.861
29581.682012228026 -26851.730083284143 10 45.404
29540.32099324209 -26679.709424512825 10 45.583
29492.218250721784 -26546.972164225837 10 45.566
29407.818801824582 -26373.652463165174 10 45.952
29322.492364368125 -26184.50299485917 10 46.469
29239.38927389129 -26009.24862650983 10 46.591
29154.588659752728 -25821.484062784428 10 47.024
29068.652036955336 -25638.1593124219 10 47.646
28982.748364895833 -25467.206678655744 10 47.313
28878.482259950793 -25275.131318291373 10 48.212
28804.897456025705 -25141.36983663657 10 48.403
28681.414411019592 -24953.840474186112 10 48.712
28557.456481532477 -24834.18894566173 10 48.821
28464.41761363239 -24754.40500421688 10 49.171
28333.12103417741 -24652.91575748568 10 49.562
28160.68456367776 -24516.50799682563 10 50.672
28088.764186364984 -24163.212719916544 10 49.428
27972.533562494675 -23940.619441840547 10 49.272
27882.16474577785 -23759.913127423904 10 49.787
27815.094431617672 -23652.659044340413 10 50.322
27712.975736732376 -23538.970183619746 10 50.393
27606.706631660105 -23457.909351328406 10 50.604
27470.448165577818 -23384.349420521467 10 53.475
27297.286362704937 -23267.22943354211 10 51.133
27135.807177617906 -23167.24615543937 10 51.993
26964.325587428997 -23058.89142087796 10 52.607
26792.224975784535 -22954.91551429708 10 53.02
26614.725413354296 -22848.007165961793 10 53.556
26449.912292436333 -22761.638603089745 10 54.141
26346.68315947804 -22707.577214679044 10 54.082
26049.243614214305 -22479.85945557309 10 55.185
25895.77444942389 -22235.020614224784 10 55.855
25807.76202961612 -21988.781327007404 10 56.796
25794.33979496263 -21842.335380723576 10 56.815
25740.7008983616 -21649.75428871589 10 57.036
25684.18487509944 -21484.197186532107 10 58.131
25592.519451561013 -21322.123825105205 10 58.722
25461.63096632581 -21173.50018758949 10 58.61
